key,de-DE,en-US,it-IT,es-ES
custom.data.type.loc.edit.no_loc,Keine Loc-Verknüpfung gesetzt,No valid Loc-node,,
custom.data.type.loc.edit.no_valid_loc,Keine valide Loc-Verknüpfung,No valid Loc-node,,
custom.data.type.loc.modal.form.text.count,Anzahl Vorschläge,Count suggestions,,
custom.data.type.loc.modal.form.text.label,Text,Text,,
custom.data.type.loc.modal.form.text.searchbar,Suchbegriff eingeben,Enter search query,,
custom.data.type.loc.modal.form.text.searchbar.placeholder,Suchbegriff eingeben ...,Enter search query...,,
custom.data.type.loc.modal.form.text.type,Suche auf Typ einschränken,Narrow down search to type,,
custom.data.type.loc.name,Loc-Verknüpfung,Loc-node,,
custom.data.type.loc.url.tooltip,zu **%(name)s** bei Loc Vocabularies springen,jump to **%(name)s** at Loc Vocabularies,,
custom.data.type.loc.config.parameter.schema.schema.value.label,Schema,Scheme,,
custom.data.type.loc.config.parameter.mask.infopop.info.label,Informationen über den Datensatz,Informations about the record,,
custom.data.type.loc.config.parameter.mask.infopop.labels.preflabel,Bezeichnung,Preferred label,,
custom.data.type.loc.config.parameter.mask.infopop.labels.varlabel,Variante,Variant,,
custom.data.type.loc.config.parameter.mask.infopop.labels.uri,Identifier,Identifier,,
custom.data.type.loc.config.parameter.mask.infopop.labels.broader,Umfassendere Begriffe,Broader Terms,,
server.config.name.system.update_loc,LoC-Update-Einstellungen,LoC-Update-Configuration,,
server.config.parameter.system.update_loc.restrict_time.label,Beschränke Updates auf bestimmte Stunden?,Restrict updates to specific hours?,,
server.config.parameter.system.update_loc.restrict_time.checkbox,Ja - beschränken,Yes - restrict,,
server.config.parameter.system.update_loc.from_time.label,Stunde von (Zahl 0-24),Hour from (Int 0-24),,
server.config.parameter.system.update_loc.to_time.label,Stunde bis (Zahl 0-24),Hour to (Int 0-24),,
server.config.parameter.system.update_loc.default_language.label,Standard-Datensprache als Fallback für Update (ISO 639-1),Default-data-language (as fallback) for update (ISO 639-1),,